,name,address,kurtosis_oxygen,occupation,pregnant,education-num,skewness_glucose,mean_glucose,std_oxygen,capital-gain,skewness_oxygen,kurtosis_glucose,personal_info,fnlwgt,class,std_glucose,income,mean_oxygen,hours-per-week,capital-loss,workclass
17,Carl Nelson,"680 Higgins Square
Sharonborough, NJ 01147",10.64449998, Other-service,f,10.0,1.6173756209999999,83.8125,14.760812900000001,0.0,134.24611380000002,0.611750363,"White|United-States
Some-college -- Married-civ-spouse|Husband",34848.0,0.0,40.59012927, <=50K,1.977424749,40.0,0.0, Private
18,Brian Murphrey,"7682 Cantu Glen
Monroebury, NH 02629",3.870762606, Handlers-cleaners,f,9.0,0.867396967,131.65625,40.51209785,0.0,14.25092679,-0.313315252,"White|United-States
HS-grad -- Never-married|Not-in-family",305466.0,0.0,43.74400629, <=50K,10.78010033,40.0,0.0, Private
19,Brian Orozco,"699 Powell Gardens Apt. 171
Sloanland, HI 67035",7.919433455, Prof-specialty,F,13.0,-0.026361017999999996,136.6484375,16.9395148,0.0,79.13662558,-0.29763718899999997,"White|United-States
Bachelors -- Divorced|Not-in-family",215854.0,0.0,49.28006535, <=50K,3.08277592,50.0,0.0, Private
20,Julian Davis,"75930 Jonathan Passage Suite 688
Port Jamie, NV 90007",5.560734251, Other-service,f,10.0,-0.174616458,129.171875,34.03307732,0.0,29.89193035,0.133561192,"White|United-States
Some-college -- Married-civ-spouse|Husband",84306.0,0.0,51.54020114, <=50K,6.18645485,40.0,0.0, Private
21,John Davenport,"802 Christian Course Apt. 645
Port Dominiquemouth, KS 15892",9.858380523, Sales,f,9.0,2.022478472,83.9375,15.002608800000004,0.0,118.8887426,0.913914557,"White|United-States
HS-grad -- Married-civ-spouse|Wife",191822.0,0.0,39.27939783, <=50K,2.117056856,50.0,0.0, Private
22,Oscar Reynolds,"776 Guerrero Lock
Lake Erin, NY 53271",12.38519299, Tech-support,f,13.0,22.61491549,39.84375,11.81258058,0.0,210.95215819999999,4.322009647,"Asian-Pac-Islander|India
Bachelors -- Married-civ-spouse|Husband",207352.0,1.0,34.38146246, >50K,1.905518395,40.0,0.0, Private
23,Louis Stallworth,"476 Kevin Tunnel
Jenniferton, VT 33302",12.14303861, Craft-repair,f,9.0,0.250450726,117.2421875,12.03237859,0.0,198.909211,0.187123115,"White|United-States
HS-grad -- Divorced|Own-child",316211.0,0.0,44.90576002, <=50K,1.759197324,40.0,0.0, Private
24,Harold Hiles,"40820 Susan Shore
Coryville, KS 28888",7.012918477, Craft-repair,f,7.0,0.003438096,144.5546875,27.77542425,0.0,50.59069134,-0.134165552,"White|United-States
11th -- Married-civ-spouse|Husband",348771.0,0.0,49.36832369, <=50K,4.556856187,36.0,0.0, Self-emp-not-inc
25,David Lopez,"420 Jensen Place
Port Kyletown, KS 65788",8.02251786, Prof-specialty,f,10.0,0.410472932,95.8828125,18.12773204,0.0,76.12829962,0.615137034,"White|United-States
Some-college -- Divorced|Unmarried",233369.0,0.0,50.46790767, <=50K,2.973244147,40.0,0.0, Private
26,Kenneth Weatherholt,"6644 Marshall Mountains Suite 928
West Susanland, WV 10507",-0.074639079, Exec-managerial,FALSE,9.0,0.09274953,112.40625,85.95518059,0.0,-1.925150925,0.285994309,"Black|United-States
HS-grad -- Separated|Not-in-family",186601.0,0.0,50.264680299999995, <=50K,90.63712375,40.0,0.0, Federal-gov
27,Corey Rose,"48053 Jeremiah Estate
Jeremychester, TN 50588",4.62701081, Adm-clerical,t,10.0,-0.32669615399999996,115.90625,33.77916871,0.0,20.91658655,0.146410133,"Black|United-States
Some-college -- Divorced|Unmarried",210259.0,0.0,50.77299933, <=50K,7.519230769,37.0,0.0, Private
28,Arthur Crandall,"806 Matthews River Suite 584
Port Heidiside, CA 57208",0.978638555, Exec-managerial,f,11.0,26.28998825,52.6875,80.09594703,0.0,-0.426167786,4.34392863,"White|United-States
Assoc-voc -- Divorced|Not-in-family",156926.0,1.0,29.00127961, >50K,61.02173913,45.0,0.0, Private
29,Jesse Simpson,"6825 Lopez Crest Suite 574
Lake Sarah, CO 68929",8.265676186, Craft-repair,f,9.0,-0.5854913970000001,125.6875,19.35331429,0.0,74.64514624,0.11173610199999999,"White|United-States
HS-grad -- Never-married|Not-in-family",203542.0,0.0,59.88840534, <=50K,2.720735786,40.0,0.0, Private
30,Rene Kershner,"1010 Miles Shore Suite 346
West Edward, NH 03231",7.6771816039999985, Sales,f,9.0,-0.614574233,124.0390625,19.80085532,0.0,64.38731698,0.083600686,"White|United-States
HS-grad -- Married-civ-spouse|Husband",165673.0,0.0,55.96768073, <=50K,2.8971571910000002,40.0,0.0, Private
31,Patrick Cortez,"96216 Prince Prairie
South Ryantown, IL 02827",7.1463000810000015, Exec-managerial,f,14.0,-0.036529396,,25.22843536,0.0,52.24285846,-0.177842516,"White|United-States
Masters -- Married-civ-spouse|Husband",327164.0,0.0,49.12626976, <=50K,3.7683946489999998,45.0,0.0, Local-gov
32,James Hunt,"93487 Kim Prairie Suite 163
Villanuevaland, AK 33333",9.027825653999999, Machine-op-inspct,f,13.0,0.300459773,106.1953125,18.97321592,0.0,88.60747165,0.32624155,"White|United-States
Bachelors -- Married-civ-spouse|Husband",131425.0,0.0,45.75923039, <=50K,2.446488294,50.0,0.0, Private
33,Louis Emanuelson,"48601 Savage Roads Apt. 640
South Scott, WV 75454",3.489611469, Other-service,f,9.0,-0.536461058,110.890625,51.60765315,0.0,11.00583174,0.26938701600000003,"Asian-Pac-Islander|Thailand
HS-grad -- Married-civ-spouse|Husband",196945.0,1.0,57.58990721, <=50K,14.87541806,78.0,0.0, Self-emp-inc
34,Fred Allen,"953 Brandon Trafficway Suite 095
West Shelbyview, AK 75770",12.07332548, Machine-op-inspct,F,9.0,-0.274806276,138.8203125,12.31471485,0.0,188.24632340000002,-0.170722812,"White|United-States
HS-grad -- Married-civ-spouse|Husband",341762.0,0.0,53.15343851, <=50K,1.5284280940000001,40.0,0.0, Private
35,Calvin Drake,"56233 Benson Ridge
Coxview, MO 19107",6.090629236, Exec_managerial,f,10.0,-0.076085372,113.09375,24.21577178,0.0,40.31054611,0.227636447,"White|United-States
Some-college -- Married-civ-spouse|Husband",201122.0,0.0,51.31709594, >50K,4.678929766,40.0,0.0, Private
36,John Pascanik,"23529 Anthony Fords
New Patricia, IA 95175",10.1010663, Exec-managerial,f,14.0,2.252948957,105.859375,16.74875692,0.0,119.9365845,0.7133585809999999,"White|United-States
Masters -- Never-married|Not-in-family",55929.0,0.0,36.64221745, <=50K,2.493311037,48.0,0.0, Private
37,James Coats,"7704 Lauren Manors Apt. 991
Lake Marisa, WY 78259",7.966732432000001, Other_service,f,10.0,-0.352962523,124.1484375,18.89541071,0.0,74.68779465,-0.059881859,"White|United-States
Some-college -- Never-married|Own-child",33221.0,0.0,54.45856938, <=50K,3.1789297660000004,25.0,0.0, Private
38,Earl Martinez,"474 Kevin Land Apt. 117
North Jamesburgh, WI 89949",6.207749353, Prof-specialty,f,16.0,-0.167757712,121.1484375,26.45812796,4787.0,41.36025329,-0.05380598,"White|United-States
Doctorate -- Never-married|Not-in-family",194894.0,0.0,51.15144332, >50K,4.783444816,40.0,0.0, State-gov
39,Earl Phillips,"316 Erin Meadows
North Juliemouth, NH 73106",12.22364552, Prof-specialty,f,14.0,-0.232283613,115.0078125,14.82956457,0.0,158.3888374,0.04870751,"White|United-States
Masters -- Married-civ-spouse|Wife",74784.0,0.0,49.01809234, >50K,1.327759197,40.0,0.0, Local-gov
40,Scott Dees,"871 Martinez Mountains Suite 563
East Laurie, UT 96893",6.3577749610000005, Transport-moving,f,8.0,0.564448044,117.4765625,23.11838786,0.0,43.62178497,0.039003095,"White|United-States
12th -- Married-civ-spouse|Husband",222247.0,0.0,41.49057966, >50K,4.206521738999999,40.0,0.0, Private
41,Mark Casey,"037 Davis Fords
East Joshuashire, NM 05150",4.924387937, Adm-clerical,f,9.0,0.369978574,112.6875,32.07368457,4416.0,24.44189947,0.381858591,"White|United-States
HS-grad -- Never-married|Not-in-family",406662.0,0.0,47.18427141, <=50K,6.911371237000001,40.0,0.0, Private
42,Teddy Alegria,"0780 Jones Locks Apt. 405
Hartfort, NV 80429",0.905511422, Sales,f,10.0,37.44917217,16.5390625,67.14417042,0.0,0.064849717,5.971549921,"Black|United-States
Some-college -- Never-married|Own-child",118186.0,1.0,30.50074342, <=50K,67.45150502,20.0,0.0, Private
43,Steven Sao,"847 Katherine Fields Suite 621
Annamouth, KS 77887",7.979892259, ?,f,7.0,-0.33801620200000004,129.8828125,18.44262645,0.0,72.24231129,0.11035682,"White|United-States
11th -- Married-civ-spouse|Husband",281907.0,0.0,53.30112292, <=50K,2.781772575,3.0,0.0, ?
44,Nelson Finkenbinder,"200 Blake Crest
North Cristianborough, IA 17019",0.23714692, Adm-clerical,f,9.0,16.54454213,34.640625,65.976393,0.0,-0.338388229,3.7992285839999997,"White|United-States
HS-grad -- Divorced|Own-child",115858.0,1.0,34.89823025, <=50K,88.93394649,40.0,0.0, Private
45,Frank Vaquera,"9156 Diaz Circles Apt. 036
West Charlene, FL 10719",0.424477214, Adm-clerical,f,10.0,1.3634362230000001,172.5625,104.7754932,0.0,-1.619876921,-0.921973906,"White|United-States
Some-college -- Never-married|Not-in-family",399020.0,0.0,43.71315413, <=50K,96.24163879999999,55.0,0.0, Local-gov
46,Fred Bailey,"4110 Martin Loaf Suite 354
Port Daniel, VA 61535",9.410615067, Farming-fishing,f,9.0,5.054608272,67.234375,19.107828100000006,0.0,98.70291806,1.832765714,"White|United-States
HS-grad -- Never-married|Not-in-family",189759.0,1.0,42.43662267, <=50K,3.02090301,40.0,2001.0, Private
47,Tyrone Vue,"USS Castro
FPO AP 57271",5.246926172, Prof-specialty,f,11.0,1.9476634830000001,111.9921875,31.17891232,0.0,28.60530879,0.277084152,"White|United-States
Assoc-voc -- Married-civ-spouse|Wife",213290.0,0.0,34.71254638, >50K,6.819397993,36.0,1887.0, Private
48,Robert Artrip,"PSC 1868, Box 3572
APO AA 69512",2.266474445, Adm-clerical,f,9.0,30.21465706,30.3984375,61.41136465,0.0,4.283722748,4.937010439,"White|Puerto-Rico
HS-grad -- Divorced|Unmarried",270278.0,1.0,29.75849139, <=50K,30.37207358,12.0,0.0, State-gov
49,Don Bruce,"43445 Simmons Glens
Douglasburgh, AR 74522",1.586397716, Handlers-cleaners,f,9.0,4.277561333,51.3046875,65.63761639,0.0,1.354502915,2.266264101,"White|United-States
HS-grad -- Never-married|Own-child",99697.0,1.0,55.13202316, <=50K,40.35785953,40.0,0.0, Private
50,Jeffrey Qualls,"1269 Shelby Plaza
North Louisfort, AK 13983",6.958808417999999, Farming-fishing,f,9.0,-0.8985504740000001,120.2578125,26.33930069,0.0,54.09751505,0.36830849,"Black|United-States
HS-grad -- Never-married|Own-child",127709.0,0.0,58.63196202, <=50K,4.7826086960000005,30.0,0.0, Private
51,Don Mccall,"3500 Taylor Landing
East Sheri, PA 18408",8.769990396, Other-service,f,10.0,0.8100947820000001,123.84375,19.86940694,0.0,83.79069225,0.143254742,"White|United-States
Some-college -- Never-married|Unmarried",167691.0,0.0,41.14293634, <=50K,2.803511706,50.0,0.0, Self-emp-not-inc
52,Peter Mierzwiak,"404 Potts Shoal Apt. 015
South Kari, VT 94119",??, Other-service,f,7.0,0.015481336000000004,136.1015625,40.0258565,0.0,16.58034372,-0.10901291,"Black|United-States
11th -- Divorced|Unmarried",103529.0,0.0,44.08866065, <=50K,9.903010033,30.0,0.0, Private
53,Daniel Robleto,"USNS Bradford
FPO AP 78057",15.23245522, Sales,f,9.0,-0.39481363399999997,128.6484375,13.18841533,0.0,243.1387517,0.051290500999999995,"White|United-States
HS-grad -- Never-married|Own-child",92863.0,0.0,48.70343767, <=50K,0.93812709,20.0,0.0, Private
54,Joseph Brumleve,"Unit 0408 Box 5335
DPO AP 49925",6.802576169, ?,f,13.0,0.142485386,128.40625,17.51851985,0.0,58.57111517,-0.085951196,"White|United-States
Bachelors -- Married-civ-spouse|Husband",160155.0,0.0,46.17399794, <=50K,3.5443143810000004,12.0,0.0, ?
55,John Quandt,"54709 Leslie Falls
Paulburgh, RI 22397",0.890621628, Handlers-cleaners,f,9.0,34.16865153,28.3984375,72.13412694,0.0,-0.255434123,5.60150491,"White|United-States
HS-grad -- Married-civ-spouse|Husband",168403.0,1.0,30.12093848, <=50K,85.35367893,40.0,0.0, Private
56,Ruben Bates,"003 Olson Passage
Fullerchester, PA 66823",0.270882009, Other-service,f,10.0,24.70518696,10.078125,68.08957056,0.0,-1.018064684,5.055287901,"White|United-States
Some-college -- Never-married|Own-child",110128.0,1.0,40.8477756, <=50K,113.5593645,40.0,0.0, State-gov
57,Bobby Alicea,"787 Edwards Groves
New Melissaville, VT 70198",9.805805146, Exec-managerial,f,13.0,0.137797193,,18.64194342,0.0,100.742006,0.307463696,"White|United-States
Bachelors -- Married-civ-spouse|Husband",420986.0,0.0,51.85758132, >50K,2.074414716,40.0,0.0, Private
58,Jimmy Lewis,"30822 Jorge Skyway Suite 941
South Andrea, GA 86694",9.649481619, Sales,f,10.0,0.23098591699999999,124.015625,13.60834396,0.0,130.0941166,0.179369797,"White|United-States
Some-college -- Never-married|Own-child",139907.0,0.0,52.70169358, <=50K,2.372909699,50.0,0.0, Private
59,Thomas Hernandez,"3197 Ashley Street
North Brandon, WA 90798",6.592571262000001, Transport-moving,f,10.0,0.279442803,103.4921875,25.79420704,0.0,45.9285698,0.261139015,"White|United-States
Some-college -- Never-married|Not-in-family",181576.0,0.0,44.11437479999999, <=50K,4.4707357860000005,55.0,0.0, Private
60,Raymond Mitchell,"93046 Moore Road Suite 855
East Marcborough, AL 75974",8.8617261, Prof-specialty,f,12.0,0.602769983,125.2109375,17.97060902,0.0,90.98856076,0.34691227,"Asian-Pac-Islander|Philippines
Assoc-acdm -- Never-married|Other-relative",163003.0,0.0,45.45974393, <=50K,2.70735786,40.0,0.0, Private
61,Gary Brown,"9075 Allen Spurs Apt. 572
East Larry, TX 62639",8.957683022000001, Adm-clerical,f,11.0,0.32856355,142.6640625,19.69779473,0.0,85.05450313,0.159384036,"Black|United-States
Assoc-voc -- Never-married|Own-child",206874.0,0.0,43.98619765, <=50K,2.532608696,40.0,0.0, Private
62,Dennis Gonzalez,"8715 Brown Rapid Suite 074
Port Adrienneborough, AZ 11775",8.693699867000001, Other-service,F,8.0,0.17741010899999998,116.9765625,19.22313728,0.0,83.05137025,0.42730899299999997,"White|United-States
12th -- Never-married|Own-child",156874.0,0.0,46.32164465, <=50K,2.653846154,27.0,0.0, Private
63,Steven Smith,"88401 Cortez Mission
West Anthonyburgh, PA 80632",10.66968448, Exec-managerial,f,13.0,-0.37455964399999997,130.96875,12.54819556,0.0,161.76676369999996,0.108328429,"White|United-States
Bachelors -- Married-civ-spouse|Husband",168553.0,0.0,51.62544454, <=50K,1.95735786,40.0,0.0, Local-gov
64,Kendrick Presha,"9027 Odom Turnpike Suite 930
Lake Mariebury, ND 17682",, Other-service,f,7.0,2.432726486,90.3046875,12.8798985,0.0,147.5458625,0.68446409,"White|United-States
11th -- Never-married|Own-child",160984.0,0.0,36.06473316, <=50K,2.20735786,15.0,0.0, Private
65,Gregory Plunkett,"PSC 5622, Box 0282
APO AA 15855",12.27007462, Prof-specialty,f,14.0,3.3590355169999997,89.7109375,14.47851048,0.0,163.6379483,0.666422009,"White|United-States
Masters -- Never-married|Not-in-family",169180.0,0.0,34.15249633, <=50K,1.3503344480000001,35.0,0.0, Private
66,Frank Hanks,"74553 Aguilar Creek Suite 968
Brownville, WV 41844",-0.816324388, Sales,f,13.0,-0.19311539600000002,131.8515625,73.70650984,0.0,-1.157791274,0.036626774,"White|United-States
Bachelors -- Married-civ-spouse|Husband",345705.0,0.0,52.62931839, >50K,113.3704013,50.0,1977.0, Private
67,Jon Russell,"614 Joshua Roads
East David, TN 41266",12.077188, ?,f,10.0,2.256293755,76.1328125,15.89004946,0.0,150.9596535,0.776761905,"White|United-States
Some-college -- Never-married|Own-child",238087.0,0.0,38.57245032, <=50K,1.389632107,30.0,0.0, ?
68,Raymond Giroux,"557 Michele Avenue Apt. 198
New Cassidy, NM 33331",0.417781874, Prof_specialty,f,16.0,10.45598155,25.1015625,72.03009053,0.0,-0.84980008,3.347547018,"White|United-States
Doctorate -- Married-civ-spouse|Husband",320102.0,1.0,50.44053427, >50K,89.64632107,50.0,0.0, Private
69,Fredrick Jack,"610 Griffith Causeway Apt. 479
Matthewside, NV 03710",, Machine-op-inspct,f,9.0,38.70819796,7.796875,55.704857,0.0,-0.374732984,6.139090075,"White|United-States
HS-grad -- Never-married|Own-child",115815.0,1.0,33.05969019, <=50K,109.12541809999999,20.0,0.0, Private
70,Timothy Minor,"4524 Lori Avenue Suite 577
Saramouth, OR 71749",4.888889599, Exec-managerial,F,10.0,8.131774734,76.5234375,36.657363000000004,0.0,23.67535368,2.024270196,"White|Cuba
Some-college -- Never-married|Not-in-family",218407.0,1.0,34.08719629, <=50K,7.983277592,70.0,0.0, Self-emp-inc
71,Marcel Moody,"92795 Smith Alley Apt. 153
South Thomas, MS 58229",2.238599105, Other-service,f,9.0,-0.19679209,137.71875,63.25486396,0.0,3.3732609730000003,-0.112475386,"White|United-States
HS-grad -- Never-married|Unmarried",37848.0,0.0,50.80476379, <=50K,25.48327759,25.0,0.0, Local-gov
72,James Bonner,"09320 Smith Trace Apt. 263
Allenfort, MI 15391",, Machine-op-inspct,f,10.0,-0.551288359,119.9609375,12.60575026,0.0,179.5236467,-0.007230668000000002,"White|United-States
Some-college -- Married-civ-spouse|Husband",201861.0,0.0,54.13083143, <=50K,1.769230769,45.0,0.0, Private
73,Gordon Ratliff,"1719 Lisa Ferry Suite 265
South William, RI 47988",, Craft-repair,f,,0.574123091,101.65625,28.00527493,0.0,49.79400089,0.36330600799999996,,100508.0,1.0,42.71607526, >50K,4.134615385,40.0,0.0, Private
74,Robert Mikowski,"936 Christina Road
Blakeside, NY 98950",5.183002361000001, Protective-serv,f,13.0,-0.6613535979999999,120.0625,37.47827382,4787.0,25.80754994,0.119315743,"White|United-States
Bachelors -- Never-married|Not-in-family",194630.0,0.0,53.66632295, >50K,7.279264213999999,43.0,0.0, Local-gov
75,Earl Castro,"005 Gibson Stream Suite 482
Mauriceborough, TN 49387",10.47705862, Exec-managerial,f,9.0,0.406516224,130.328125,18.91000799,0.0,117.95612959999998,-0.179130596,"White|United-States
HS-grad -- Married-civ-spouse|Husband",298717.0,0.0,39.50002163, <=50K,2.245819398,40.0,0.0, Local-gov
76,Jose Marzinske,"310 Bennett Meadow
Lake Ralphbury, MD 73173",12.25634806, Craft-repair,f,9.0,0.09544244699999999,128.921875,15.4963545,0.0,167.07423390000002,-0.06743779400000001,"Black|United-States
HS-grad -- Never-married|Not-in-family",469705.0,0.0,47.81762381, <=50K,1.530936455,40.0,1980.0, Federal-gov
77,Mark Barrera,"18561 Scott Orchard Apt. 325
Davismouth, MT 87361",9.233192137, Handlers-cleaners,f,9.0,0.146674589,,14.62056542,0.0,111.1421712,-0.22132231300000002,"White|United-States
HS-grad -- Divorced|Own-child",44392.0,0.0,44.02476706, <=50K,2.423913043,20.0,0.0, Private
78,Thomas Bohler,"0168 Linda Pine Suite 684
South Adamside, AL 32447",??, Prof-specialty,FALSE,12.0,0.47648363,,14.19775663,0.0,169.6964841,-0.193916328,"Asian-Pac-Islander|United-States
Assoc-acdm -- Divorced|Unmarried",88913.0,0.0,42.94727233, <=50K,1.7516722409999999,36.0,0.0, State-gov
79,Paul Rodriguez,"221 Combs Shores
Shelleyville, ND 98552",2.35103641, Adm-clerical,f,10.0,-0.931859304,,51.51675915,0.0,4.082682927,0.028437287999999998,"White|United-States
Some-college -- Married-civ-spouse|Husband",232475.0,0.0,60.10412311, <=50K,20.32859532,40.0,0.0, Private
80,Clyde Schwendemann,"764 Brent Lake
Port Colleenbury, CA 09117",11.85201214, Prof-specialty,f,14.0,0.05893466400000001,127.9296875,12.0265281,0.0,194.1600125,0.316462973,"White|?
Masters -- Married-civ-spouse|Husband",212856.0,0.0,47.68421247, >50K,1.8478260869999998,40.0,0.0, Local-gov
81,Darrin Cusumano,"3167 Thomas Glen
Daniellebury, AK 96676",5.826356351, Sales,f,6.0,2.03239405,87.7734375,30.85202449,0.0,34.41622786,0.964594183,"White|United-States
10th -- Never-married|Own-child",347322.0,1.0,42.53293115, <=50K,5.764214047,20.0,0.0, Private
82,Aaron Dini,"105 Medina Springs Suite 462
Emilyland, KS 59124",16.94832782, Craft-repair,f,10.0,0.18246612899999998,98.359375,12.74730386,0.0,305.53696099999996,0.5677573370000001,"Amer-Indian-Eskimo|United-States
Some-college -- Married-civ-spouse|Husband",148522.0,0.0,46.30178425, <=50K,0.837792642,40.0,0.0, Private
83,Steve Harris,"38558 Powell Square
New Johnton, FL 87251",16.47837713, Farming-fishing,f,9.0,0.064950177,101.1015625,10.58296835,2414.0,326.6423647,0.4067084,"White|United-States
HS-grad -- Married-civ-spouse|Husband",195881.0,0.0,47.02822288, <=50K,0.9088628759999999,40.0,0.0, Self-emp-not-inc
84,Paul Ladd,"USNS Townsend
FPO AE 97197",6.062392209, Sales,f,9.0,2.179897654,94.21875,29.73309243,0.0,37.52970269,1.097078828,"White|United-States
HS-grad -- Never-married|Own-child",168693.0,1.0,42.89010986, <=50K,5.266722408,25.0,0.0, Private
85,Fred Renner,"2122 Johnson Cliff
South Timothybury, NE 29167",0.217772793, Machine-op-inspct,f,13.0,4.046876263,82.671875,91.35474813,0.0,-1.535622078,1.4798262269999998,"Asian-Pac-Islander|China
Bachelors -- Married-civ-spouse|Wife",166386.0,1.0,38.31410261, <=50K,99.409699,40.0,0.0, Private
86,Joseph Matos,"378 Romero Ridge
Montoyaton, MI 44541",7.23726275, Exec-managerial,t,13.0,-0.346911226,145.6796875,18.16914979,0.0,64.90038251,-0.283641792,"White|United-States
Bachelors -- Never-married|Own-child",107882.0,0.0,49.51135185, <=50K,3.418896321,35.0,0.0, Private
87,Dennis Lepard,"USCGC Roberts
FPO AE 38393",13.16669667, Craft_repair,f,9.0,0.480638225,126.578125,11.09414643,0.0,246.447066,0.05621777,"White|United-States
HS-grad -- Married-civ-spouse|Husband",164898.0,0.0,41.28173199, <=50K,1.5660535119999999,40.0,0.0, Private
